date,diesel_dollars_per_gallon
2021-01-04,2.6400
2021-01-11,2.6700
2021-01-18,2.6960
2021-01-25,2.7160
2021-02-01,2.7380
2021-02-08,2.8010
2021-02-15,2.8760
2021-02-22,2.9730
2021-03-01,3.0720
2021-03-08,3.1430
2021-03-15,3.1910
2021-03-22,3.1940
2021-03-29,3.1610
2021-04-05,3.1440
2021-04-12,3.1290
2021-04-19,3.1240
2021-04-26,3.1240
2021-05-03,3.1420
2021-05-10,3.1860
2021-05-17,3.2490
2021-05-24,3.2530
2021-05-31,3.2550
2021-06-07,3.2740
2021-06-14,3.2860
2021-06-21,3.2870
2021-06-28,3.3000
2021-07-05,3.3310
2021-07-12,3.3380
2021-07-19,3.3440
2021-07-26,3.3420
2021-08-02,3.3670
2021-08-09,3.3640
2021-08-16,3.3560
2021-08-23,3.3240
2021-08-30,3.3390
2021-09-06,3.3730
2021-09-13,3.3720
2021-09-20,3.3850
2021-09-27,3.4060
2021-10-04,3.4770
2021-10-11,3.5860
2021-10-18,3.6710
2021-10-25,3.7130
2021-11-01,3.7270
2021-11-08,3.7300
2021-11-15,3.7340
2021-11-22,3.7240
2021-11-29,3.7200
2021-12-06,3.6740
2021-12-13,3.6490
2021-12-20,3.6260
2021-12-27,3.6150
2022-01-03,3.6130
2022-01-10,3.6570
2022-01-17,3.7250
2022-01-24,3.7800
2022-01-31,3.8460
2022-02-07,3.9510
2022-02-14,4.0190
2022-02-21,4.0550
2022-02-28,4.1040
2022-03-07,4.8490
2022-03-14,5.2500
2022-03-21,5.1340
2022-03-28,5.1850
2022-04-04,5.1440
2022-04-11,5.0730
2022-04-18,5.1010
2022-04-25,5.1600
2022-05-02,5.5090
2022-05-09,5.6230
2022-05-16,5.6130
2022-05-23,5.5710
2022-05-30,5.5390
2022-06-06,5.7030
2022-06-13,5.7180
2022-06-20,5.8100
2022-06-27,5.7830
2022-07-04,5.6750
2022-07-11,5.5680
2022-07-18,5.4320
2022-07-25,5.2680
2022-08-01,5.1380
2022-08-08,4.9930
2022-08-15,4.9110
2022-08-22,4.9090
2022-08-29,5.1150
2022-09-05,5.0840
2022-09-12,5.0330
2022-09-19,4.9640
2022-09-26,4.8890
2022-10-03,4.8360
2022-10-10,5.2240
2022-10-17,5.3390
2022-10-24,5.3410
2022-10-31,5.3170
2022-11-07,5.3330
2022-11-14,5.3130
2022-11-21,5.2330
2022-11-28,5.1410
2022-12-05,4.9670
2022-12-12,4.7540
2022-12-19,4.5960
2022-12-26,4.5370
2023-01-02,4.5830
2023-01-09,4.5490
2023-01-16,4.5240
2023-01-23,4.6040
2023-01-30,4.6220
2023-02-06,4.5390
2023-02-13,4.4440
2023-02-20,4.3760
